run,K,alpha_word,alpha_ent,evaluation_result
6,20,0.3,0.40,46.7900
6,20,0.4,0.30,53.2694
6,20,0.4,0.40,52.0770
6,20,0.5,0.30,54.6433
6,20,0.5,0.40,38.5950
6,50,0.2,0.30,52.9117
6,50,0.2,0.40,53.8710
6,50,0.3,0.30,48.9678
6,50,0.3,0.40,66.0710
6,50,0.4,0.30,47.6723
6,50,0.4,0.40,43.3700
6,50,0.5,0.30,49.9555
6,50,0.5,0.40,62.6380
6,100,0.2,0.30,55.8701
6,100,0.2,0.40,45.2840
6,100,0.3,0.30,47.7070
6,100,0.3,0.40,41.0990
6,100,0.4,0.30,53.2278
6,100,0.4,0.40,36.6020
6,100,0.5,0.30,48.4655
6,100,0.5,0.40,45.2720
6,200,0.2,0.30,52.4449
6,200,0.2,0.40,49.3220
6,200,0.3,0.30,51.4588
6,200,0.3,0.40,46.7620
6,200,0.4,0.30,58.3222
6,200,0.4,0.40,49.9030
6,200,0.5,0.30,47.3699
6,200,0.5,0.40,53.2110
7,20,0.2,0.30,52.1581
7,20,0.2,0.40,52.4620
7,20,0.3,0.30,52.5647
7,20,0.3,0.40,52.9930
7,20,0.4,0.30,53.2694
7,20,0.4,0.40,57.4890
7,20,0.5,0.30,54.6433
7,20,0.5,0.40,40.0020
7,50,0.2,0.30,49.3344
7,50,0.2,0.40,60.8060
7,50,0.3,0.30,51.3801
7,50,0.3,0.40,43.9660
7,50,0.4,0.30,44.1580
7,50,0.4,0.40,45.4170
7,50,0.5,0.30,48.1665
7,50,0.5,0.40,47.6120
7,100,0.2,0.30,47.1928
7,100,0.2,0.40,55.5120
7,100,0.3,0.30,54.6039
7,100,0.3,0.40,61.6670
7,100,0.4,0.30,46.4482
7,100,0.4,0.40,44.3020
7,100,0.5,0.30,53.4101
7,100,0.5,0.40,52.1880
7,200,0.2,0.30,49.9958
7,200,0.2,0.40,45.6170
7,200,0.3,0.30,55.9192
7,200,0.3,0.40,55.9380
7,200,0.4,0.30,48.3671
7,200,0.4,0.40,56.6600
7,200,0.5,0.30,50.5335
7,200,0.5,0.40,42.1560
8,20,0.2,0.30,52.1581
8,20,0.2,0.40,53.0370
8,20,0.3,0.30,52.5647
8,20,0.3,0.40,61.5210
8,20,0.4,0.30,53.2694
8,20,0.4,0.40,64.2030
8,20,0.5,0.30,54.6433
8,20,0.5,0.40,52.2560
8,50,0.2,0.30,49.1990
8,50,0.2,0.40,45.3350
8,50,0.3,0.30,50.9790
8,50,0.3,0.40,50.1480
8,50,0.4,0.30,53.4139
8,50,0.4,0.40,52.4120
8,50,0.5,0.30,49.7745
8,50,0.5,0.40,50.8810
8,100,0.2,0.30,48.8550
8,100,0.2,0.40,51.7340
8,100,0.3,0.30,56.5100
8,100,0.3,0.40,56.2690
8,100,0.4,0.30,47.4478
8,100,0.4,0.40,51.3760
8,100,0.5,0.30,51.0408
8,100,0.5,0.40,49.4790
8,200,0.2,0.30,50.9478
8,200,0.2,0.40,46.4960
8,200,0.3,0.30,50.1698
8,200,0.3,0.40,41.1290
8,200,0.4,0.30,39.5468
8,200,0.4,0.40,48.0210
8,200,0.5,0.30,50.5123
8,200,0.5,0.40,64.0400
9,20,0.2,0.30,52.5647
9,20,0.2,0.40,45.7440
9,20,0.3,0.30,52.5647
9,20,0.3,0.40,61.6030
9,20,0.4,0.30,53.2694
9,20,0.4,0.40,46.3450
9,20,0.5,0.30,54.6433
9,20,0.5,0.40,43.6810
9,50,0.2,0.30,50.9484
9,50,0.2,0.40,65.1990
9,50,0.3,0.30,51.9705
9,50,0.3,0.40,57.7680
9,50,0.4,0.30,49.8427
9,50,0.4,0.40,51.8670
9,50,0.5,0.30,55.6540
9,50,0.5,0.40,53.3240
9,100,0.2,0.30,47.8618
9,100,0.2,0.40,40.8550
9,100,0.3,0.30,49.0645
9,100,0.3,0.40,61.9300
9,100,0.4,0.30,53.6864
9,100,0.4,0.40,55.4410
9,100,0.5,0.30,50.7100
9,100,0.5,0.40,45.1110
9,200,0.2,0.30,51.0230
9,200,0.2,0.40,43.7240
9,200,0.3,0.30,52.1770
9,200,0.3,0.40,56.5040
9,200,0.4,0.30,52.8449
9,200,0.4,0.40,53.6790
9,200,0.5,0.30,49.0189
9,200,0.5,0.40,51.8670
10,20,0.2,0.30,52.1581
10,20,0.2,0.40,41.7420
10,20,0.3,0.30,52.5647
10,20,0.3,0.40,45.1380
10,20,0.4,0.30,53.2694
10,20,0.4,0.40,50.5080
10,20,0.5,0.30,54.6433
10,20,0.5,0.40,50.6630
10,50,0.2,0.30,51.0990
10,50,0.2,0.40,54.9510
10,50,0.3,0.30,50.3264
10,50,0.3,0.40,66.6700
10,50,0.4,0.30,46.1780
10,50,0.4,0.40,45.1440
10,50,0.5,0.30,47.4935
10,50,0.5,0.40,49.7160
10,100,0.2,0.30,51.4303
10,100,0.2,0.40,57.5430
10,100,0.3,0.30,49.4186
10,100,0.3,0.40,46.9610
10,100,0.4,0.30,51.5844
10,100,0.4,0.40,50.2540
10,100,0.5,0.30,51.7186
10,100,0.5,0.40,57.1400
10,200,0.2,0.30,50.6306
10,200,0.2,0.40,55.5130
10,200,0.3,0.30,55.8853
10,200,0.3,0.40,46.5150
10,200,0.4,0.30,51.6859
10,200,0.4,0.40,37.3510
10,200,0.5,0.30,50.6655
10,200,0.5,0.40,43.5440
11,20,0.2,0.30,52.5647
11,20,0.2,0.40,59.9220
11,20,0.3,0.30,52.1581
11,20,0.3,0.40,56.1870
11,20,0.4,0.30,53.2694
11,20,0.4,0.40,39.2000
11,20,0.5,0.30,54.6433
11,20,0.5,0.40,52.2130
11,50,0.2,0.30,46.1204
11,50,0.2,0.40,64.8200
11,50,0.3,0.30,49.5552
11,50,0.3,0.40,53.6770
11,50,0.4,0.30,49.5573
11,50,0.4,0.40,53.4630
11,50,0.5,0.30,49.3642
11,50,0.5,0.40,39.9290
11,100,0.2,0.30,52.9659
11,100,0.2,0.40,55.4630
11,100,0.3,0.30,53.7872
11,100,0.3,0.40,42.1770
11,100,0.4,0.30,46.9671
11,100,0.4,0.40,53.2680
11,100,0.5,0.30,51.6499
11,100,0.5,0.40,49.6040
11,200,0.2,0.30,56.0544
11,200,0.2,0.40,43.0130
11,200,0.3,0.30,52.8460
11,200,0.3,0.40,44.5820
11,200,0.4,0.30,48.1605
11,200,0.4,0.40,44.5580
11,200,0.5,0.30,50.0317
11,200,0.5,0.40,48.0990
12,20,0.2,0.30,52.5647
12,20,0.2,0.40,42.9620
12,20,0.3,0.30,52.5647
12,20,0.3,0.40,55.7150
12,20,0.4,0.30,53.2694
12,20,0.4,0.40,47.2800
12,20,0.5,0.30,54.6433
12,20,0.5,0.40,51.3380
12,50,0.2,0.30,48.1390
12,50,0.2,0.40,32.3430
12,50,0.3,0.30,51.8294
12,50,0.3,0.40,38.6590
12,50,0.4,0.30,51.6809
12,50,0.4,0.40,44.2590
12,50,0.5,0.30,52.1338
12,50,0.5,0.40,49.2790
12,100,0.2,0.30,48.3468
12,100,0.2,0.40,49.0540
12,100,0.3,0.30,48.9432
12,100,0.3,0.40,62.1540
12,100,0.4,0.30,55.1802
12,100,0.4,0.40,45.1750
12,100,0.5,0.30,50.4607
12,100,0.5,0.40,51.4700
12,200,0.2,0.30,52.1139
12,200,0.2,0.40,62.3850
12,200,0.3,0.30,52.2353
12,200,0.3,0.40,57.2620
12,200,0.4,0.30,50.7168
12,200,0.4,0.40,37.2360
12,200,0.5,0.30,52.0289
