run,K,alpha_word,alpha_ent,evaluation_result
6,20,0.2,0.40,57.228
6,20,0.3,0.30,52.564699999999995
6,20,0.3,0.40,57.228
6,20,0.4,0.30,53.2694
6,20,0.4,0.40,57.228
6,20,0.5,0.30,54.6433
6,20,0.5,0.40,57.228
6,50,0.2,0.30,47.664899999999996
6,50,0.2,0.40,57.228
6,50,0.3,0.30,48.4593
6,50,0.3,0.40,57.228
6,50,0.4,0.30,45.149899999999995
6,50,0.4,0.40,57.228
6,50,0.5,0.30,46.2488
6,50,0.5,0.40,57.228
6,100,0.2,0.30,41.9402
6,100,0.2,0.40,57.228
6,100,0.3,0.30,41.9402
6,100,0.3,0.40,57.228
6,100,0.4,0.30,42.2714
6,100,0.4,0.40,57.228
6,100,0.5,0.30,47.717099999999995
6,100,0.5,0.40,57.228
6,200,0.2,0.30,50.6575
6,200,0.2,0.40,57.228
6,200,0.3,0.30,50.434200000000004
6,200,0.3,0.40,57.228
6,200,0.4,0.30,51.7744
6,200,0.4,0.40,57.228
6,200,0.5,0.30,49.12029999999999
6,200,0.5,0.40,57.228
7,20,0.2,0.30,52.564699999999995
7,20,0.2,0.40,57.228
7,20,0.3,0.30,52.564699999999995
7,20,0.3,0.40,57.228
7,20,0.4,0.30,53.2694
7,20,0.4,0.40,57.228
7,20,0.5,0.30,54.6433
7,20,0.5,0.40,57.228
7,50,0.2,0.30,47.664899999999996
7,50,0.2,0.40,57.228
7,50,0.3,0.30,48.4593
7,50,0.3,0.40,57.228
7,50,0.4,0.30,45.149899999999995
7,50,0.4,0.40,57.228
7,50,0.5,0.30,46.2488
7,50,0.5,0.40,57.228
7,100,0.2,0.30,41.9402
7,100,0.2,0.40,57.228
7,100,0.3,0.30,41.9402
7,100,0.3,0.40,57.228
7,100,0.4,0.30,42.2714
7,100,0.4,0.40,57.228
7,100,0.5,0.30,47.717099999999995
7,100,0.5,0.40,57.228
7,200,0.2,0.30,50.6575
7,200,0.2,0.40,57.228
7,200,0.3,0.30,50.434200000000004
7,200,0.3,0.40,57.228
7,200,0.4,0.30,51.7744
7,200,0.4,0.40,57.228
7,200,0.5,0.30,49.12029999999999
7,200,0.5,0.40,57.228
8,20,0.2,0.30,52.564699999999995
8,20,0.2,0.40,57.228
8,20,0.3,0.30,52.564699999999995
8,20,0.3,0.40,57.228
8,20,0.4,0.30,53.2694
8,20,0.4,0.40,57.228
8,20,0.5,0.30,54.6433
8,20,0.5,0.40,57.228
8,50,0.2,0.30,47.664899999999996
8,50,0.2,0.40,57.228
8,50,0.3,0.30,48.4593
8,50,0.3,0.40,57.228
8,50,0.4,0.30,45.149899999999995
8,50,0.4,0.40,57.228
8,50,0.5,0.30,46.2488
8,50,0.5,0.40,57.228
8,100,0.2,0.30,41.9402
8,100,0.2,0.40,57.228
8,100,0.3,0.30,41.9402
8,100,0.3,0.40,57.228
8,100,0.4,0.30,42.2714
8,100,0.4,0.40,57.228
8,100,0.5,0.30,47.717099999999995
8,100,0.5,0.40,57.228
8,200,0.2,0.30,50.6575
8,200,0.2,0.40,57.228
8,200,0.3,0.30,50.434200000000004
8,200,0.3,0.40,57.228
8,200,0.4,0.30,51.7744
8,200,0.4,0.40,57.228
8,200,0.5,0.30,49.12029999999999
8,200,0.5,0.40,57.228
9,20,0.2,0.30,52.564699999999995
9,20,0.2,0.40,57.228
9,20,0.3,0.30,52.564699999999995
9,20,0.3,0.40,57.228
9,20,0.4,0.30,53.2694
9,20,0.4,0.40,57.228
9,20,0.5,0.30,54.6433
9,20,0.5,0.40,57.228
